ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,1.2816666666666667,0.0,0.0,0.0,0.0,0.0,2.3816666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.54,5.0,1.5625,0.0,8.335,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,5.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.2816666666666667,0.0,0.0,1.38875,0.0
AT1TE24850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.11,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE59755,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,1.13625,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545,48.81,0.0,10.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,76.39,0.0,0.0,0.0,66.67,0.0,5.0,0.0,40.0,55.56,47.22,40.0,25.8325,45.2775
AT1TE71045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,62.5,3.845,45.51333333333333,75.2075,66.67,0.0,0.0,0.0,0.0,0.0,0.0,3.5725,0.0,7.145,0.0,0.0,4.165,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0
AT3TE54550,57.27666666666667,51.666666666666664,38.40857142857143,59.35666666666666,39.62125,65.60666666666667,60.417500000000004,64.04,26.294999999999998,61.35333333333333,49.90833333333334,40.85625,0.0,51.88,74.445,57.64,77.77666666666666,40.0,0.0,33.075,48.81,40.272000000000006,42.791666666666664,81.25,81.90333333333332,42.43,67.83,14.29,0.0,18.18,25.0,18.75,50.74,33.33,10.833333333333334,83.33500000000001,28.3125,30.293750000000003,0.0,52.31571428571429,27.28333333333333,47.473333333333336,25.715,100.0,33.333333333333336,13.635,49.762,48.89,3.3333333333333335,40.0,49.205714285714286,44.44333333333333,16.665,25.0,13.333333333333334,9.418333333333333,12.5,56.56428571428571,16.25,25.166,100.0,24.304999999999996,41.25,29.822499999999998,38.125,43.286,33.33,75.23666666666666,60.0,79.16499999999999,64.285,0.0,0.0,41.815,0.0,0.0,6.25,38.75,0.0,0.0
AT3TE89830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.165,0.0,21.590000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.302,0.0,7.69,33.565,55.067142857142855,53.00888888888889,18.8,42.129999999999995,61.905,15.0,0.0,41.605000000000004,21.94333333333333,34.285714285714285,0.0,0.0,0.0,0.0,1.13625,2.776666666666667,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3TE92525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,1.587142857142857,1.1111111111111112,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2725,0.0,0.0,0.0,3.787142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.634999999999998,0.0,2.7775,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7775,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5TE15240,0.0,0.0,0.0,0.0,0.0,0.0,3.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8516666666666666,0.0,0.0,2.3816666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.67,0.0,0.0,0.0,4.2170000000000005,0.0,78.4725,87.5,25.0,45.45,50.0,21.21,49.5725,56.666666666666664,50.0,75.57,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.6408333333333334,0.0,0.0,0.0,0.0,0.0,1.1908333333333332,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,3.125,2.3816666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.27,2.5,5.4243749999999995,0.0,4.1675,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,2.5,0.0,1.0416666666666667,0.0,0.0,2.3816666666666664,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6408333333333334,0.0,0.0,0.694375,0.0
AT1TE24850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,3.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.905882352941175,2.1425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08875,3.7877777777777784,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
