TEI,TEIcoord,sample,zygoticity,orientaion_TEI,orientation_gene,consistency,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100
NC_003070.9:165940..165944,NC_003070.9:165939..165946,SQK-NBD114-96_barcode01,homo,minus,plus,no,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,58.335,59.52333333333333,89.58375,66.66499999999999,82.63833333333334,86.11166666666668,95.8325,100.0,100.0,90.0,100.0,0.0,70.0,0.0,100.0,71.13250000000001,87.5,90.47666666666667,0.0,63.335,91.66666666666669,0.0,0.0,90.27833333333336,90.625,0.0,72.22333333333334,0.0,0.0,50.47666666666667,80.95285714285716,0.0,91.665,0.0,98.571,0.0,95.0,68.84833333333333,100.0,96.13,0.0,95.0,100.0,100.0,90.0,0.0,60.8325,88.89,28.57,0.0,100.0,71.66666666666667,95.83333333333331,0.0,92.855,78.27333333333333,84.72333333333334,80.39666666666666,83.33333333333333,50.0,77.08500000000001,0.0,80.3575,0.0,68.05499999999999,73.81,100.0,0.0,18.75,0.0,100.0,0.0,65.9375,93.801875,0.0,0.0,100.0,76.0,80.95166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33
NC_003070.9:23504373..23504377,NC_003070.9:23504372..23504379,SQK-NBD114-96_barcode01,homo,minus,minus,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.165,72.6775,90.0,45.235,75.0,83.9275,70.0,90.0,92.8575,88.0,100.0,50.0,66.112,0.0,93.75,95.535,87.5,41.07,66.66499999999999,59.52333333333333,47.223333333333336,50.0,72.44857142857143,95.83333333333331,78.4725,0.0,57.14,75.0,67.85499999999999,59.572,69.9425,66.67,64.285,66.66666666666667,98.21428571428572,100.0,95.23857142857142,96.54333333333334,79.63,91.66625,93.33333333333331,97.95857142857145,86.66666666666667,93.33333333333331,69.52333333333333,93.33333333333331,77.6775,93.75,62.5,0.0,52.666,50.0,60.9825,60.0,100.0,81.9042857142857,86.90333333333332,94.375,83.75,0.0,87.5,33.33,68.055,67.5,53.095,43.333333333333336,95.83333333333331,80.0,93.75,100.0,74.305,89.28499999999998,100.0,89.42714285714285,92.1725,100.0,100.0,78.78666666666668,100.0,95.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003070.9:25881399..25881404,NC_003070.9:25881396..25881415,SQK-NBD114-96_barcode01,homo,plus,plus,yes,6.25,0.0,0.0,0.0,0.0,0.0,91.665,76.19,72.3,100.0,95.8325,86.19,87.11133333333333,91.666,0.0,92.3375,68.82000000000001,78.485,93.1825,78.0575,80.55499999999999,69.12750000000001,25.0,84.16666666666667,80.666,49.286,70.0,86.60666666666667,74.28571428571429,73.05666666666667,70.0,85.55499999999999,95.91714285714286,67.46000000000001,81.29142857142857,85.0,79.1675,79.465,78.57,75.0,80.0,0.0,77.0825,91.07,100.0,95.0,89.5825,92.3814285714286,78.04583333333333,85.41666666666667,90.0,100.0,90.0,87.57,75.36999999999999,0.0,91.753,70.55499999999999,72.2325,0.0,83.035,86.945,81.11,91.66666666666669,78.68125,80.0,92.855,81.20375,91.4275,87.5,100.0,89.5825,77.08375000000001,33.335,88.095,70.94333333333333,65.47666666666667,100.0,95.11833333333334,89.18625,0.0,95.66,96.167,82.91625,16.67,92.0,80.36125,54.4525,62.5,100.0,27.27,0.0,0.0,0.0,0.0,0.0,20.774,0.0,0.0,0.0
NC_003071.7:169679..169683,NC_003071.7:169678..169696,SQK-NBD114-96_barcode01,hetero,minus,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,86.66666666666667,100.0,63.333333333333336,40.0,71.6675,55.0,60.0,71.25,75.0,83.33500000000001,43.75,58.3325,47.9175,62.5025,25.0,43.3325,0.0,0.0,39.998333333333335,44.44333333333333,44.585,42.5,38.332,0.0,46.66666666666666,50.0,37.5,50.0,43.75,0.0,0.0,63.335,38.89,33.335,63.335,47.77666666666666,58.335,52.5,0.0,54.04714285714285,68.75250000000001,66.6675,65.0,83.33500000000001,75.334,54.16499999999999,100.0,0.0,50.0,81.334,83.33333333333333,0.0,0.0,55.83500000000001,55.55666666666667,63.428,60.0,100.0,71.6675,33.33,80.55666666666667,75.0,42.5,33.333333333333336,58.333333333333336,0.0,58.335,66.67,35.417500000000004,100.0,28.33333333333333,83.33333333333333,100.0,100.0,87.5,58.333333333333336,93.75,0.0,0.0,88.89,33.33,100.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:1001318..1001322,NC_003071.7:1001313..1001322,SQK-NBD114-96_barcode01,hetero,plus,minus,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,78.33333333333333,62.5,56.25,0.0,67.5,61.81818181818182,40.0,20.0,45.0,0.0,25.0,0.0,93.33333333333331,22.5,43.333333333333336,50.0,79.16499999999999,0.0,70.0,0.0,57.5,52.778333333333336,12.5,52.0,0.0,0.0,45.0,0.0,75.0,0.0,0.0,43.333333333333336,53.335,0.0,53.333333333333336,43.75,50.0,65.0,0.0,58.333333333333336,28.33333333333333,52.5,46.66666666666666,0.0,43.333333333333336,45.0,35.0,0.0,42.5,45.0,35.0,0.0,0.0,0.0,0.0,70.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:2614798..2614803,NC_003071.7:2614797..2614803,SQK-NBD114-96_barcode01,hetero,minus,plus,no,10.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,63.3325,18.335,40.0,49.72166666666666,50.0,32.5,45.835,61.666,38.332,80.0,64.5825,36.667142857142856,33.33,36.11,46.665,33.335,41.0,54.16666666666666,6.25,0.0,75.0,55.55666666666667,50.0,30.0,22.0,39.72166666666666,0.0,83.33500000000001,0.0,16.665,38.333333333333336,51.25,65.0,50.0,0.0,14.666,30.0,62.77666666666666,12.5,70.0,49.998888888888885,100.0,33.33,73.332,30.8325,33.33,100.0,0.0,80.0,0.0,0.0,0.0,75.0,52.08500000000001,0.0,0.0,0.0,0.0,58.335,87.5,75.0,0.0,0.0,0.0,12.5,12.5,0.0,35.0,10.0,0.0,0.0,10.0,87.5,0.0,16.666666666666668,55.973636363636366,33.335,62.70000000000001,55.1775,34.721666666666664,71.23,0.0,0.0,66.66499999999999,0.0,33.33,0.0,0.0,0.0,0.0
NC_003071.7:14489344..14489348,NC_003071.7:14489343..14489348,SQK-NBD114-96_barcode01,hetero,minus,minus,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,80.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,100.0,100.0,0.0,100.0,0.0,100.0,0.0,33.33,100.0,0.0,0.0,0.0,0.0,66.67,83.33500000000001,100.0,0.0,100.0,0.0,100.0,75.0,100.0,83.33500000000001,0.0,0.0,0.0,0.0
NC_003071.7:15105060..15105065,NC_003071.7:15105059..15105065,SQK-NBD114-96_barcode01,hetero,minus,plus,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80.0,83.33,66.66666666666667,0.0,83.33333333333333,86.00999999999999,87.5,100.0,91.66666666666669,88.75,83.33333333333333,0.0,62.5,0.0,80.0,74.286,70.0,50.0,0.0,25.0,0.0,0.0,87.5,80.0,100.0,0.0,75.0,0.0,58.335,37.5,70.0,0.0,25.0,0.0,81.66499999999999,0.0,67.5,83.33500000000001,62.5,100.0,0.0,70.0,83.33333333333333,95.0,100.0,0.0,100.0,71.66499999999999,0.0,66.67,80.0,83.33500000000001,40.0,0.0,0.0,33.335,75.0,93.75,75.0,0.0,33.33,100.0,93.75,100.0,50.0,87.5,100.0,83.33500000000001,100.0,33.335,67.5,85.0,71.66499999999999,78.33333333333333,80.5,0.0,67.5,87.5,80.334,68.75,0.0,100.0,83.33500000000001,100.0,100.0,0.0,0.0,0.0,0.0
NC_003071.7:18808727..18808731,NC_003071.7:18808726..18808731,SQK-NBD114-96_barcode01,hetero,plus,minus,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,100.0,78.75,87.5,0.0,88.33375,71.94500000000001,73.666,91.66666666666669,80.0,66.67,100.0,66.67,75.0,42.5,50.0,65.0,100.0,0.0,80.0,0.0,82.666,86.66666666666667,76.6675,90.0,100.0,0.0,91.665,60.0,100.0,0.0,0.0,90.0,85.83333333333333,0.0,71.11,100.0,100.0,96.0,0.0,92.85714285714286,100.0,80.0,93.75,0.0,86.666,100.0,66.67,0.0,100.0,80.0,87.5,0.0,80.0,0.0,100.0,100.0,100.0,50.0,0.0,25.0,88.89,66.67,83.33,68.75,90.0,33.33,70.0,16.665,66.6675,88.89,83.33500000000001,66.67,100.0,100.0,75.00250000000001,66.67,86.6675,78.668,54.1675,70.83500000000001,80.0,66.66666666666667,100.0,33.33,83.33500000000001,0.0,0.0,0.0,0.0,0.0
NC_003074.8:10541312..10541322,NC_003074.8:10541311..10541322,SQK-NBD114-96_barcode01,hetero,plus,minus,no,100.0,0.0,100.0,0.0,88.89,0.0,33.33,0.0,77.78000000000002,50.0,0.0,75.0,0.0,0.0,83.3325,58.3325,25.0,54.165,100.0,0.0,50.0,100.0,66.66499999999999,83.33500000000001,16.665,25.0,75.55666666666667,0.0,100.0,61.6675,80.334,60.0,100.0,62.223333333333336,66.67,66.67,62.5,55.55666666666667,11.11,33.33,0.0,58.33,20.0,66.67,60.0,84.52,72.85499999999999,50.0,0.0,89.80799999999999,79.1675,20.0,42.26,0.0,50.0,0.0,0.0,0.0,47.0825,64.285,0.0,0.0,12.5,0.0,51.66666666666666,45.8325,26.785,28.57,20.0,41.665,0.0,61.10999999999999,8.334,60.0,12.5,0.0,37.998000000000005,50.0,16.67,30.0,88.89,0.0,100.0,93.33333333333331,33.333333333333336,46.66666666666666,52.5,79.04666666666667,34.443333333333335,34.443333333333335,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
