insertion,TEIcoord,sample,zygoticity,orientaion_TEI,orientation_gene,consistency,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80
NC_003070.9:165940..165944,NC_003070.9:165939..165946,SQK-NBD114-96_barcode01,homo,minus,plus,no,0.0,0.0,1.5154545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.612,0.0,0.0,0.0,0.0,0.0,4.166666666666667,50.0,95.23857142857142,100.0,0.0,0.0,0.0,80.41857142857143,0.0,0.0,93.0,91.4275,86.28777777777776,0.0,0.0,4.444166666666667,0.0,0.0,0.0,80.83333333333333,79.8938888888889,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003070.9:23504373..23504377,NC_003070.9:23504372..23504379,SQK-NBD114-96_barcode01,homo,minus,minus,yes,0.0,0.0,2.2725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.145,0.0,0.0,3.5725,0.0,0.0,0.0,0.0,0.0,0.0,2.4308333333333336,0.0,0.0,0.0,1.25,0.4784210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8516666666666663
NC_003070.9:25881399..25881404,NC_003070.9:25881396..25881415,SQK-NBD114-96_barcode01,homo,plus,plus,yes,38.42333333333333,67.85499999999999,73.17333333333333,78.70333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7775,0.0,0.0,0.0,0.0,2.3504761904761904,0.0,1.475625,0.5555,0.0,1.2344444444444445,0.0,0.0,0.0,0.0,38.097,0.0,0.0,0.0,7.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3883333333333334,0.0,1.0416666666666667,0.0,16.324615384615385,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763333333333333,0.0,0.0,0.0,0.0
NC_003071.7:169679..169683,NC_003071.7:169678..169696,SQK-NBD114-96_barcode01,hetero,minus,,,0.0,0.0,0.0,2.7775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.145,28.81,0.0,0.0,0.0,63.79818181818182,68.75,0.0,0.0,43.3325,30.026666666666667,62.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.095,0.0,0.0,0.0,0.0,13.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,71.14999999999999,58.31571428571429
NC_003071.7:1001318..1001322,NC_003071.7:1001313..1001322,SQK-NBD114-96_barcode01,hetero,plus,minus,no,0.0,0.0,1.8516666666666663,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,36.93,13.683333333333332,6.970000000000001,9.8225,0.0,5.416666666666667,5.555,0.0,5.0,0.0,6.25,20.0,0.0,0.0,0.0,0.0,5.555,0.0,0.0,1.6670000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15625,30.30333333333333,91.665,2.563333333333333,2.08375,3.5725,45.8325,85.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:2614798..2614803,NC_003071.7:2614797..2614803,SQK-NBD114-96_barcode01,hetero,minus,plus,no,0.0,21.11,0.0,0.0,11.428571428571429,0.0,16.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04125,58.36714285714286,0.0,0.0,0.0,0.0,21.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,4.761428571428572,0.0,0.0,0.0,0.0,0.0,0.0,29.365,0.0,0.0,11.83,0.0,6.66625,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,0.0,75.95833333333333,52.78,0.0,57.935,6.666666666666667,54.668000000000006,71.4275,90.0,87.77,90.2775,90.0,81.10333333333334,90.9725,81.785
NC_003071.7:14489344..14489348,NC_003071.7:14489343..14489348,SQK-NBD114-96_barcode01,hetero,minus,minus,yes,0.0,1.78625,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,8.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,1.3891666666666669,0.0,4.1675,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:15105060..15105065,NC_003071.7:15105059..15105065,SQK-NBD114-96_barcode01,hetero,minus,plus,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4289999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:18808727..18808731,NC_003071.7:18808726..18808731,SQK-NBD114-96_barcode01,hetero,plus,minus,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.605,0.0,0.0,0.0,20.758333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,4.545,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.145,0.0,0.0,0.0,0.0,0.0,0.0
NC_003074.8:10541312..10541322,NC_003074.8:10541311..10541322,SQK-NBD114-96_barcode01,hetero,plus,minus,no,22.46125,17.322499999999998,59.19200000000001,78.27333333333333,50.0,9.090909090909092,18.75,0.0,0.0,0.0,25.0,75.0,20.0,0.0,54.165,0.0,15.0,0.0,9.524285714285714,32.142857142857146,33.3325,50.0,75.0,0.0,0.0,33.333333333333336,25.0,50.0,0.0,0.0,0.0,28.572857142857146,0.0,20.0,0.0,22.223333333333333,42.85714285714285,0.0,0.0,46.75363636363636,0.0,0.0,0.0,0.0,2.2725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4175,0.0,0.0,0.0,0.0,0.0,12.38,0.0,0.0,65.782,100.0,0.0,0.0,33.33,0.0,0.0,88.89,75.0,66.77333333333333,100.0,100.0
