TEI,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100
NC_003070.9:165940..165944,59.519999999999996,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,50.0,0.0,0.0,78.57,66.67,0.0,87.5,37.5,55.95333333333334,0.0,62.5,75.0,100.0,66.67,75.0,0.0,16.67,0.0,0.0,0.0,0.0,66.834,55.56,0.0,0.0,0.0,0.0,42.86,60.715,0.0,41.665,0.0,57.14,0.0,95.8325,58.73,80.15666666666667,83.33333333333333,0.0,75.0,100.0,87.5,14.29,0.0,30.55333333333333,0.0,0.0,75.0,87.5,0.0,0.0,0.0,37.5,0.0,0.0,70.83500000000001,50.0,0.0,0.0,87.5,0.0,0.0,0.0,58.335,0.0,0.0,25.0,0.0,82.2925,0.0,33.33,75.0,100.0,0.0,52.379999999999995,0.0,75.55666666666667,93.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67
NC_003070.9:23504373..23504377,63.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.16666666666667,0.0,33.33,69.05000000000001,0.0,60.0,80.0,78.57,42.5,25.0,37.5,25.0,0.0,71.43,57.14,0.0,0.0,0.0,0.0,66.67,46.666666666666664,29.165,38.89,0.0,0.0,0.0,0.0,52.5,50.0,0.0,12.5,0.0,0.0,83.33500000000001,74.048,43.355000000000004,42.86,79.16666666666667,60.0,66.67,62.5,0.0,0.0,0.0,25.0,0.0,25.0,0.0,33.33,0.0,0.0,0.0,0.0,93.33333333333333,0.0,70.235,40.0,50.0,50.0,25.0,44.44,60.0,0.0,40.0,0.0,67.5,0.0,0.0,50.0,0.0,100.0,82.85499999999999,0.0,100.0,75.0,0.0,86.36500000000001,100.0,0.0,0.0,0.0,0.0,80.0,66.67,20.0,0.0,0.0
NC_003070.9:24318592..24318596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,60.0,0.0,28.03,0.0,44.44,36.36,0.0,29.165,0.0,25.0,0.0,0.0,16.67,0.0,37.5,50.0,0.0,0.0,0.0,51.17666666666667,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,57.14,0.0,0.0,33.33,22.22,36.665,0.0,35.715,26.39,15.530000000000001,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.25,4.165,9.09,0.0,0.0,0.0,0.0,44.44,33.33,8.335,0.0,45.45,0.0,25.0,24.78333333333333,0.0,0.0,29.165,8.33,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3325,0.0,5.0
NC_003070.9:25881399..25881404,7.145,0.0,0.0,0.0,0.0,0.0,66.66666666666667,91.66499999999999,66.67,71.99,75.0,76.39,79.36666666666667,38.75,84.445,62.5,86.11,45.835,100.0,61.115,14.29,66.67,0.0,0.0,70.0,60.0,0.0,0.0,68.75,30.0,0.0,100.0,79.04666666666667,0.0,0.0,57.14,33.33,0.0,0.0,33.332499999999996,62.5,0.0,50.0,59.723333333333336,57.78,41.11,45.0,92.85499999999999,50.096000000000004,64.285,78.33333333333333,68.75,64.16666666666667,50.39666666666667,38.856,0.0,58.335,40.0,45.535,77.78,0.0,30.0,33.33,75.0,58.335,40.0,58.335,63.335,50.0,0.0,0.0,50.0,80.0,50.0,71.43,54.165,44.285,70.83500000000001,54.04,62.5,0.0,38.89,42.985,52.78000000000001,0.0,100.0,46.23,0.0,0.0,92.31,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,50.0
NC_003071.7:169679..169683,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,20.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.665,11.11,25.0,0.0,0.0,0.0,66.67,100.0,25.0,0.0,25.0,0.0,0.0,42.776666666666664,33.33,0.0,0.0,33.33,18.3325,20.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,33.33,0.0,47.223333333333336,0.0,0.0,0.0,66.66499999999999,0.0,0.0,0.0,0.0,0.0
NC_003071.7:684927..684931,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,60.0,0.0,0.0,0.0,0.0,50.0,83.33,0.0,33.33,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.333333333333336,0.0,0.0,0.0,0.0,33.33,100.0,0.0,0.0,0.0,66.67,16.67,40.0,60.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:1001318..1001322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.335,0.0,42.5,0.0,37.5,50.0,25.0,0.0,0.0,0.0,33.33,0.0,0.0,20.0,0.0,0.0,0.0,37.5,0.0,0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.835,0.0,20.0,0.0,25.0,25.0,0.0,0.0,20.0,16.666666666666668,20.0,0.0,20.0,0.0,10.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:2614798..2614803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.666666666666668,12.5,0.0,25.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,26.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_003071.7:14489344..14489348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
NC_003071.7:15105060..15105065,12.5,0.0,0.0,0.0,4.1675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,40.0,80.0,25.0,42.86,62.5,0.0,25.0,16.67,50.0,0.0,12.5,0.0,40.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,55.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,20.0,37.5,50.0,37.5,0.0,60.0,25.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,75.0,66.66499999999999,0.0,60.0,50.0,33.33,0.0,100.0,0.0,43.89000000000001,25.0,0.0,75.0,100.0,60.0,40.0,0.0,0.0,62.5,60.0,0.0,0.0,100.0,75.0,0.0,100.0,0.0,0.0
